z[km],p[mb],T[K],air[cm-3],o3[cm-3],o3[atm-cm/km],o2[cm-3],h2o[cm-3],co2[cm-3],no2[cm-3],beta_m_532[sr-1 km-1],sigma_m_532[km-1],beta_m_1064[sr-1 km-1],sigma_m_1064[km-1],beta_p_532[sr-1 km-1],sigma_p_532[km-1],beta_p_1064[sr-1 km-1],sigma_p_1064[km-1]
120.000,   3.000e-05,   3.600e+02,   5.110e+11,   2.560e+02,   9.517e-13,   3.710e+10,   1.020e+05,   1.790e+07,   7.720e+01,   3.030e-11,   2.640e-10,   1.836e-12,   1.598e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
119.850,   3.030e-05,   3.582e+02,   5.247e+11,   3.935e+02,   1.463e-12,   3.872e+10,   1.059e+05,   1.853e+07,   7.938e+01,   3.112e-11,   2.711e-10,   1.885e-12,   1.641e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
119.700,   3.060e-05,   3.564e+02,   5.384e+11,   5.310e+02,   1.974e-12,   4.034e+10,   1.099e+05,   1.915e+07,   8.157e+01,   3.193e-11,   2.782e-10,   1.934e-12,   1.684e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
119.550,   3.090e-05,   3.546e+02,   5.521e+11,   6.686e+02,   2.485e-12,   4.196e+10,   1.138e+05,   1.978e+07,   8.375e+01,   3.274e-11,   2.853e-10,   1.983e-12,   1.727e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
119.400,   3.120e-05,   3.528e+02,   5.658e+11,   8.061e+02,   2.997e-12,   4.358e+10,   1.177e+05,   2.041e+07,   8.594e+01,   3.355e-11,   2.924e-10,   2.032e-12,   1.769e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
119.250,   3.150e-05,   3.510e+02,   5.795e+11,   9.436e+02,   3.508e-12,   4.520e+10,   1.216e+05,   2.104e+07,   8.812e+01,   3.437e-11,   2.995e-10,   2.082e-12,   1.812e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
119.100,   3.180e-05,   3.492e+02,   5.933e+11,   1.081e+03,   4.019e-12,   4.682e+10,   1.256e+05,   2.166e+07,   9.030e+01,   3.518e-11,   3.065e-10,   2.131e-12,   1.855e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
118.950,   3.210e-05,   3.474e+02,   6.070e+11,   1.219e+03,   4.530e-12,   4.844e+10,   1.295e+05,   2.229e+07,   9.249e+01,   3.599e-11,   3.136e-10,   2.180e-12,   1.898e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
118.800,   3.240e-05,   3.456e+02,   6.207e+11,   1.356e+03,   5.041e-12,   5.006e+10,   1.334e+05,   2.292e+07,   9.467e+01,   3.681e-11,   3.207e-10,   2.229e-12,   1.941e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
118.650,   3.270e-05,   3.438e+02,   6.344e+11,   1.494e+03,   5.553e-12,   5.168e+10,   1.374e+05,   2.354e+07,   9.686e+01,   3.762e-11,   3.278e-10,   2.279e-12,   1.984e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
118.500,   3.300e-05,   3.420e+02,   6.481e+11,   1.631e+03,   6.064e-12,   5.330e+10,   1.413e+05,   2.417e+07,   9.904e+01,   3.843e-11,   3.349e-10,   2.328e-12,   2.027e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
118.350,   3.330e-05,   3.402e+02,   6.618e+11,   1.769e+03,   6.575e-12,   5.492e+10,   1.452e+05,   2.480e+07,   1.012e+02,   3.925e-11,   3.420e-10,   2.377e-12,   2.069e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
